,PseudoTime1,PseudoTime2
E204_660,0.82581,
E195_267,,0.33333
E1137_202,0.25188,
E576_467,,0.58396
E1216_532,0.6654100000000001,
E710_123,0.15288,
E1017_494,,0.61779
E136_387,,0.48371000000000003
E1599_143,0.17794000000000001,
E653_526,,0.65789
E391_464,,0.5802
E269_341,0.42607,
E1045_298,0.37218,
E1310_310,0.38722,
E1925_192,,0.23935
E1845_502,,0.6278199999999999
E118_601,,0.75188
E47_357,,0.44611999999999996
E505_237,0.29574,
E458_419,,0.52381
E123_20,,0.023809999999999998
E1611_282,,0.35213
E451_162,0.20175,
E254_473,0.59148,
E1472_32,0.03885,
E588_762,,0.95363
E1159_708,,0.8859600000000001
E504_731,0.91479,
E1417_406,0.50752,
E1077_763,,0.95489
E1956_415,,0.5188
E1165_129,,0.1604
E1511_621,0.77694,
E382_167,,0.20801999999999998
E250_601,0.75188,
E719_799,,1.0
E87_14,,0.01629
E1667_267,,0.33333
E703_409,,0.5112800000000001
E1520_175,,0.21805
E1364_785,0.98246,
E1761_219,,0.27318000000000003
E1260_350,0.43733999999999995,
E393_599,,0.74937
E987_127,0.15789,
E1160_641,0.80201,
E544_370,0.46241000000000004,
E727_6,0.00627,
E990_296,0.36967,
E1763_714,,0.8934799999999999
E1676_579,,0.72431
E1146_654,,0.8183
E1705_525,,0.65664
E947_102,,0.12657000000000002
E1733_522,,0.65288
E753_528,,0.6604
E1188_101,0.12531,
E164_333,,0.41603999999999997
E18_753,,0.9423600000000001
E4_342,0.42732,
E557_430,,0.53759
E1854_258,,0.32206
E1873_334,,0.41728999999999994
E515_100,,0.12405999999999999
E56_313,,0.39098
E1784_118,,0.14662
E1555_749,,0.93734
E578_558,,0.69799
E192_660,,0.82581
E1685_151,0.18797,
E484_529,0.66165,
E589_651,0.8145399999999999,
E214_34,,0.04135
E1626_376,,0.46992
E1365_107,,0.13283
E1969_172,0.21429,
E1957_789,,0.9874700000000001
E344_163,,0.20301
E1499_247,0.30827,
E1279_619,0.77444,
E591_486,0.60777,
E514_391,,0.48872
E430_743,,0.9298200000000001
E1459_268,,0.33459
E1441_195,,0.24311
E127_482,0.6027600000000001,
E324_197,,0.24561
E173_762,,0.95363
E853_123,0.15288,
E287_428,,0.53509
E1145_198,,0.24686999999999998
E868_439,0.54887,
E1351_725,,0.90727
E945_570,,0.71303
E1684_315,0.39348,
E738_19,,0.02256
E1154_204,,0.25439
E76_527,,0.65915
E1892_89,,0.11027999999999999
E1580_410,,0.51253
E1438_741,,0.92732
E1164_558,0.69799,
E1707_324,,0.40476
E102_606,,0.75815
E268_73,0.09022999999999999,
E530_71,0.08772,
E1296_200,0.24936999999999998,
E1385_384,,0.47995
E1065_311,0.38847,
E1709_541,0.67669,
E1206_360,,0.44987
E498_247,0.30827,
E332_164,,0.20426
E1804_149,0.18545999999999999,
E1726_309,,0.38595999999999997
E1786_704,0.88095,
E1584_200,,0.24936999999999998
E129_75,0.09272999999999999,
E1664_442,,0.5526300000000001
E1100_18,0.0213,
E472_794,,0.9937299999999999
E303_572,,0.71554
E280_403,0.50376,
E1997_518,0.64787,
E1149_250,0.31203000000000003,
E1540_223,0.2782,
E1891_707,0.88471,
E1222_296,0.36967,
E1835_165,0.20551,
E547_177,,0.22055
E558_307,,0.38345999999999997
E36_371,0.46366,
E511_618,,0.77318
E1387_420,,0.5250600000000001
E502_766,,0.95865
E1215_432,0.5401,
E1091_533,,0.66667
E8_14,,0.01629
E1940_95,0.11779,
E1622_431,,0.53885
E141_799,,1.0
E1442_639,,0.7995
E115_430,0.53759,
E1143_52,,0.06391000000000001
E1558_677,0.8471200000000001,
E1383_571,0.71429,
E1530_665,,0.8320799999999999
E260_673,0.84211,
E61_615,0.76942,
E1568_277,,0.34586
E456_507,,0.6340899999999999
E890_292,,0.36466
E900_739,0.92481,
E1975_178,0.2218,
E1650_191,0.2381,
E1658_302,,0.37719
E1163_517,,0.64662
E1490_454,0.56767,
E1311_564,,0.7055100000000001
E643_709,,0.8872200000000001
E872_122,,0.15163
E1864_411,,0.51378
E1744_469,0.5864699999999999,
E1995_478,,0.5977399999999999
E460_90,,0.11152999999999999
E450_483,,0.60401
E1011_58,,0.07143
E723_135,,0.16792
E1200_158,,0.19674
E1859_208,,0.2594
E1887_482,,0.6027600000000001
E1576_272,0.3396,
E1170_323,0.40351,
E1202_290,,0.36216
E655_732,0.91604,
E40_66,,0.08145
E310_201,,0.25063
E866_76,,0.09398
E1052_401,,0.50125
E625_467,,0.58396
E919_627,0.78446,
E1177_725,0.90727,
E1381_150,,0.18672
E1655_317,,0.39599
E810_625,0.78195,
E1016_272,,0.3396
E1258_430,0.53759,
E765_191,,0.2381
E423_553,0.6917300000000001,
E940_64,0.07895,
E1155_449,0.5614,
E649_476,,0.59524
E1553_119,,0.14787
E912_49,,0.06015
E1876_163,0.20301,
E1966_766,,0.95865
E320_720,,0.9009999999999999
E1356_669,0.83709,
E820_155,,0.19297999999999998
E680_645,,0.80702
E1953_235,,0.29323
E1758_568,,0.71053
E283_391,0.48872,
E266_57,0.07017999999999999,
E1998_258,0.32206,
E1153_559,,0.69925
E1586_531,,0.6641600000000001
E1370_787,0.9849600000000001,
E1700_369,0.46115,
E1882_708,,0.8859600000000001
E1721_670,,0.83835
E463_560,,0.7005
E482_250,0.31203000000000003,
E636_794,,0.9937299999999999
E1292_451,0.56391,
E1075_755,,0.94486
E1101_254,0.31704,
E163_11,0.01253,
E128_613,,0.7669199999999999
E276_84,,0.10400999999999999
E162_456,,0.57018
E62_551,0.6892199999999999,
E1871_142,,0.17669
E1730_381,0.47618999999999995,
E1394_554,0.69298,
E1190_363,,0.45363000000000003
E95_727,,0.9097700000000001
E548_571,0.71429,
E883_262,,0.32706999999999997
E1220_205,0.25564000000000003,
E229_20,,0.023809999999999998
E299_549,,0.68672
E448_46,,0.056389999999999996
E1769_617,0.77193,
E1557_228,,0.28446
E644_288,,0.35965
E783_190,,0.23684000000000002
E922_278,,0.34712
E94_669,,0.83709
E1093_133,0.16541,
E1062_145,,0.18045
E1211_174,0.21679,
E1791_535,,0.6691699999999999
E1005_178,0.2218,
E1307_17,,0.02005
E1114_408,,0.51003
E314_422,,0.52757
E66_671,,0.8396
E889_770,,0.9636600000000001
E1905_657,,0.82206
E1120_220,,0.27444
E1732_222,,0.27694
E53_395,0.49373,
E438_676,0.8458600000000001,
E1898_114,,0.1416
E55_390,0.48746999999999996,
E1059_371,0.46366,
E1098_203,0.25313,
E863_737,,0.9223100000000001
E1547_195,,0.24311
E309_399,0.49875,
E1277_248,,0.30951999999999996
E166_167,,0.20801999999999998
E131_292,,0.36466
E733_48,,0.0589
E845_386,,0.48246000000000006
E622_468,,0.58521
E995_94,,0.11654
E1947_208,,0.2594
E740_710,,0.8884700000000001
E988_648,0.8107800000000001,
E365_710,,0.8884700000000001
E1377_527,,0.65915
E1083_57,0.07017999999999999,
E420_126,,0.15664
E617_569,,0.71178
E1312_613,0.7669199999999999,
E849_511,,0.6391
E1302_573,0.7167899999999999,
E844_3,0.00251,
E1046_63,,0.07769
E671_283,0.35338,
E1736_529,,0.66165
E800_449,0.5614,
E1604_573,,0.7167899999999999
E88_256,0.31955,
E199_441,,0.55138
E1469_494,0.61779,
E628_690,,0.86341
E600_733,0.9172899999999999,
E51_642,,0.8032600000000001
E1912_141,0.17544,
E1889_772,0.9661700000000001,
E1265_620,,0.77569
E1686_218,0.27193,
E1457_603,,0.75439
E1928_761,,0.9523799999999999
E1451_111,0.13784000000000002,
E1927_277,0.34586,
E294_124,,0.15414
E26_231,,0.28822
E1544_500,0.62531,
E771_184,0.22931999999999997,
E353_319,,0.3985
E183_449,0.5614,
E1818_664,,0.83083
E956_506,,0.63283
E1965_404,0.5050100000000001,
E403_44,,0.05388
E510_640,0.80075,
E1272_99,,0.12280999999999999
E1771_233,,0.29073000000000004
E1539_269,,0.33584
E433_133,,0.16541
E1552_63,,0.07769
E646_747,,0.93484
E1135_497,,0.62155
E713_151,,0.18797
E762_774,,0.96867
E1112_754,0.9436100000000001,
E523_265,0.33083,
E1251_459,,0.57393
E20_418,0.52256,
E601_592,,0.7406
E1661_786,0.9837100000000001,
E197_399,,0.49875
E1502_648,0.8107800000000001,
E1712_757,,0.94737
E1234_579,,0.72431
E1318_5,,0.0050100000000000006
E325_173,,0.21554
E982_45,,0.055139999999999995
E921_272,0.3396,
E1269_3,,0.00251
E1715_709,,0.8872200000000001
E272_386,0.48246000000000006,
E445_389,0.48622,
E1063_230,,0.28697
E454_337,0.42105,
E1535_694,,0.8684200000000001
E522_314,,0.39223
E1315_276,,0.34460999999999997
E582_136,0.16917000000000001,
E658_782,0.9787,
E297_221,,0.27569
E1304_229,0.28570999999999996,
E1040_565,0.70677,
E809_775,0.9699200000000001,
E209_43,,0.052629999999999996
E1663_106,,0.13158
E1425_130,,0.16165
E357_783,,0.97995
E135_331,,0.41353
E6_770,,0.9636600000000001
E1261_593,0.74185,
E869_796,,0.99624
E1739_409,0.5112800000000001,
E1131_33,,0.0401
E985_635,0.7944899999999999,
E483_374,0.46742,
E1411_666,,0.8333299999999999
E795_722,,0.90351
E1327_537,0.67168,
E1129_212,0.26441,
E464_80,0.099,
E17_609,,0.7619
E1919_44,,0.05388
E1738_460,,0.57519
E1976_652,,0.81579
E1727_385,,0.4812
E906_216,0.26942,
E246_170,,0.21178000000000002
E1319_498,,0.6228100000000001
E1853_690,,0.86341
E1689_453,,0.56642
E1025_56,0.06892000000000001,
E311_390,0.48746999999999996,
E901_230,,0.28697
E340_125,,0.15539
E1176_235,0.29323,
E1690_68,0.08396,
E46_235,0.29323,
E1941_183,,0.22807
E938_319,0.3985,
E821_187,0.23308,
E715_61,,0.07518999999999999
E1528_108,,0.13409000000000001
E1858_145,0.18045,
E1609_83,,0.10275999999999999
E941_608,,0.76065
E533_562,,0.70301
E328_388,,0.48496000000000006
E729_24,0.02882,
E647_517,,0.64662
E1777_527,,0.65915
E158_549,,0.68672
E296_336,,0.4198
E436_456,,0.57018
E1483_535,,0.6691699999999999
E1118_316,,0.39474000000000004
E157_186,,0.23183
E1209_649,0.81203,
E1268_516,0.64536,
E1656_441,,0.55138
E813_388,,0.48496000000000006
E1598_588,0.73559,
E1300_764,,0.95614
E239_49,,0.06015
E787_507,,0.6340899999999999
E19_275,0.34336,
E1378_111,0.13784000000000002,
E105_282,,0.35213
E1447_374,,0.46742
E1399_454,0.56767,
E470_86,,0.10652
E989_73,,0.09022999999999999
E734_727,,0.9097700000000001
E667_501,,0.62657
E1110_277,,0.34586
E1488_315,0.39348,
E1478_191,,0.2381
E1141_390,0.48746999999999996,
E1050_245,,0.30576
E598_359,0.44861999999999996,
E508_237,,0.29574
E1151_600,0.75063,
E635_103,0.12782000000000002,
E1041_351,0.4386,
E333_226,,0.28195
E958_145,,0.18045
E1923_197,0.24561,
E1737_663,,0.82957
E882_570,0.71303,
E181_783,,0.97995
E495_592,0.7406,
E675_650,0.81328,
E1695_737,,0.9223100000000001
E388_478,,0.5977399999999999
E792_341,0.42607,
E1078_171,,0.21303000000000002
E122_530,,0.66291
E447_765,,0.95739
E991_712,,0.8909799999999999
E1516_357,0.44611999999999996,
E203_337,,0.42105
E997_799,1.0,
E867_285,0.35589,
E843_133,,0.16541
E1938_741,0.92732,
E631_345,,0.43108
E1755_626,,0.7832100000000001
E252_589,,0.7368399999999999
E1904_773,,0.9674200000000001
E1697_521,,0.65163
E630_153,,0.19047999999999998
E1006_393,,0.49123
E233_737,0.9223100000000001,
E1949_577,,0.7218
E1740_121,0.15037999999999999,
E1192_379,0.47368000000000005,
E668_157,0.19549,
E3_525,,0.65664
E326_453,0.56642,
E134_370,,0.46241000000000004
E139_374,,0.46742
E606_433,,0.54135
E170_152,,0.18922
E172_418,,0.52256
E846_685,,0.85714
E1992_221,0.27569,
E1033_101,,0.12531
E1113_21,0.02506,
E1930_143,,0.17794000000000001
E575_370,,0.46241000000000004
E1055_225,0.2807,
E760_651,0.8145399999999999,
E1076_734,,0.91855
E1665_619,,0.77444
E1945_323,,0.40351
E1888_794,,0.9937299999999999
E1986_251,0.31328,
E1879_425,,0.53133
E1505_113,,0.14035
E1422_617,,0.77193
E74_797,,0.99749
E1369_708,0.8859600000000001,
E1452_701,0.8771899999999999,
E1009_207,,0.25815
E1612_621,0.77694,
E735_256,,0.31955
E1309_17,0.02005,
E1828_758,0.94862,
E546_152,,0.18922
E1218_750,,0.9386
E1214_527,,0.65915
E604_374,,0.46742
E519_690,,0.86341
E1823_765,0.95739,
E1477_440,,0.55013
E22_736,,0.92105
E1794_570,0.71303,
E138_39,,0.047619999999999996
E1510_528,0.6604,
E267_661,,0.8270700000000001
E1233_717,,0.8972399999999999
E1936_766,,0.95865
E1325_30,,0.03634
E611_191,,0.2381
E1579_575,,0.7193
E1413_212,,0.26441
E1486_566,,0.70802
E1653_14,,0.01629
E759_551,,0.6892199999999999
E1156_595,0.74436,
E97_620,0.77569,
E370_42,,0.051379999999999995
E663_569,,0.71178
E137_745,0.9323299999999999,
E1473_650,0.81328,
E1566_388,,0.48496000000000006
E318_124,0.15414,
E401_17,,0.02005
E1293_539,,0.67419
E465_462,,0.5776899999999999
E369_476,,0.59524
E184_199,0.24811999999999998,
E1851_518,0.64787,
E1671_234,0.29198,
E226_49,,0.06015
E1752_736,,0.92105
E984_48,0.0589,
E1228_8,,0.00877
E120_759,,0.9498700000000001
E490_162,,0.20175
E751_31,,0.03759
E641_451,,0.56391
E848_517,,0.64662
E264_454,0.56767,
E1389_201,0.25063,
E1042_763,,0.95489
E12_643,,0.8045100000000001
E1822_238,,0.29699000000000003
E263_482,0.6027600000000001,
E1982_473,,0.59148
E1629_340,0.42481,
E1832_523,0.6541399999999999,
E915_392,0.48996999999999996,
E819_100,,0.12405999999999999
E1637_91,,0.11277999999999999
E99_247,0.30827,
E854_587,0.73434,
E614_173,0.21554,
E1615_379,0.47368000000000005,
E1826_194,,0.24185
E678_107,,0.13283
E777_404,0.5050100000000001,
E1634_482,,0.6027600000000001
E1981_286,0.35714,
E1456_450,,0.56266
E0_730,0.91353,
E1783_98,0.12155,
E151_213,,0.26566
E1616_343,0.42857,
E1144_763,,0.95489
E1133_770,0.9636600000000001,
E1409_427,,0.53383
E624_506,0.63283,
E109_462,,0.5776899999999999
E1994_490,0.61278,
E1951_277,0.34586,
E1788_265,,0.33083
E1814_92,,0.11404
E1226_416,0.52005,
E478_413,,0.5162899999999999
E1435_288,0.35965,
E908_765,,0.95739
E142_156,0.19424,
E202_89,,0.11027999999999999
E1242_151,,0.18797
E688_741,0.92732,
E1498_422,0.52757,
E659_304,,0.3797
E1286_240,0.2995,
E1602_454,0.56767,
E1531_649,,0.81203
E764_145,0.18045,
E1964_527,0.65915,
E1766_256,,0.31955
E1092_10,0.01128,
E1639_552,0.69048,
E1081_175,,0.21805
E827_59,0.07268,
E1313_681,0.8521299999999999,
E371_769,0.96241,
E1595_658,0.82331,
E234_91,,0.11277999999999999
E155_709,,0.8872200000000001
E45_446,,0.5576399999999999
E981_662,,0.8283200000000001
E1073_783,,0.97995
E1952_481,0.6015,
E1339_672,,0.84085
E378_475,,0.5939800000000001
E345_568,,0.71053
E672_370,0.46241000000000004,
E1273_603,0.75439,
E1035_785,0.98246,
E1914_665,0.8320799999999999,
E349_467,0.58396,
E637_16,,0.0188
E620_430,0.53759,
E91_452,,0.56516
E1285_62,,0.07644
E986_497,0.62155,
E220_482,,0.6027600000000001
E493_293,,0.36591
E1908_474,0.59273,
E101_531,0.6641600000000001,
E1390_94,,0.11654
E1094_676,,0.8458600000000001
E1717_122,,0.15163
E1317_704,,0.88095
E167_484,0.60526,
E909_519,,0.64912
E216_350,,0.43733999999999995
E1463_697,0.87218,
E1462_729,,0.91228
E1330_380,0.47494,
E1373_456,,0.57018
E857_152,,0.18922
E892_516,,0.64536
E1072_585,0.73183,
E208_715,0.89474,
E1613_500,,0.62531
E1780_315,0.39348,
E1608_55,0.06767000000000001,
E154_516,0.64536,
E152_393,,0.49123
E899_442,,0.5526300000000001
E796_529,,0.66165
E924_417,,0.5213
E1476_322,0.40226,
E1407_189,0.23559000000000002,
E1831_792,,0.9912299999999999
E248_83,,0.10275999999999999
E1298_291,,0.36341
E9_679,,0.84962
E82_514,,0.64286
E1865_629,0.78697,
E1080_340,,0.42481
E52_292,,0.36466
E1509_625,,0.78195
E222_242,,0.30201
E551_82,0.1015,
E1495_591,0.73935,
E1874_324,,0.40476
E1480_74,,0.09147999999999999
E1564_423,,0.52882
E755_367,,0.45865
E706_525,,0.65664
E190_314,,0.39223
E68_504,,0.6303300000000001
E907_194,0.24185,
E852_122,0.15163,
E1207_51,,0.06266000000000001
E1856_185,0.23058,
E1185_264,,0.32957
E1124_691,0.86466,
E1089_292,,0.36466
E1578_672,,0.84085
E1295_500,0.62531,
E159_451,0.56391,
E124_302,0.37719,
E1446_371,,0.46366
E41_278,,0.34712
E1574_36,0.04386,
E609_284,,0.35464
E1125_25,0.030080000000000003,
E567_156,0.19424,
E1199_48,,0.0589
E629_693,,0.8671700000000001
E782_374,0.46742,
E337_530,0.66291,
E1688_408,0.51003,
E1181_192,,0.23935
E48_282,0.35213,
E182_780,,0.97619
E1545_283,0.35338,
E874_591,,0.73935
E1024_254,,0.31704
E63_284,,0.35464
E1418_679,0.84962,
E1691_644,0.80576,
E660_711,,0.8897200000000001
E1764_412,,0.5150399999999999
E79_520,,0.6503800000000001
E218_220,0.27444,
E11_462,,0.5776899999999999
E1900_562,0.70301,
E1142_373,0.46617,
E1996_81,,0.10025
E1068_325,0.40602,
E1565_556,,0.6954899999999999
E1289_536,0.67043,
E1787_131,,0.16291
E93_248,,0.30951999999999996
E236_328,,0.40976999999999997
E488_759,,0.9498700000000001
E1569_340,,0.42481
E1722_408,0.51003,
E1518_80,,0.099
E999_540,0.6754399999999999,
E1182_436,,0.54511
E917_309,0.38595999999999997,
E756_509,0.63659,
E817_15,,0.01754
E27_175,,0.21805
E1870_417,,0.5213
E1543_107,,0.13283
E1105_670,,0.83835
E1701_22,0.02632,
E562_81,0.10025,
E612_188,0.23434000000000002,
E1970_72,0.08897000000000001,
E475_172,,0.21429
E145_356,,0.44486000000000003
E1902_162,,0.20175
E731_581,0.72682,
E476_303,0.37845,
E913_255,0.3183,
E1618_571,,0.71429
E215_563,0.70426,
E1099_796,0.99624,
E457_281,,0.35088
E951_715,0.89474,
E244_32,0.03885,
E650_352,,0.43985
E286_692,,0.8659100000000001
E1741_56,,0.06892000000000001
E327_663,0.82957,
E1628_535,,0.6691699999999999
E224_402,,0.50251
E189_341,,0.42607
E453_442,0.5526300000000001,
E83_712,,0.8909799999999999
E1800_758,,0.94862
E707_722,,0.90351
E133_359,0.44861999999999996,
E1349_489,,0.61153
E1767_476,0.59524,
E1428_237,,0.29574
E1479_457,,0.57143
E1359_476,,0.59524
E400_153,,0.19047999999999998
E235_314,0.39223,
E805_780,,0.97619
E1829_759,,0.9498700000000001
E1250_728,,0.9110299999999999
E409_561,0.70175,
E1247_370,0.46241000000000004,
E1004_352,0.43985,
E317_655,,0.81955
E342_16,,0.0188
E330_653,,0.81704
E96_55,,0.06767000000000001
E1614_382,0.47744,
E1562_47,,0.05764
E1933_372,,0.46491000000000005
E520_410,0.51253,
E1168_563,,0.70426
E1123_460,,0.57519
E716_686,,0.8584
E407_145,0.18045,
E977_605,0.75689,
E1617_158,0.19674,
E1406_507,,0.6340899999999999
E1719_237,0.29574,
E728_265,,0.33083
E379_486,0.60777,
E60_201,,0.25063
E763_106,,0.13158
E1429_455,,0.56892
E249_222,,0.27694
E1503_550,,0.68797
E165_675,0.8446100000000001,
E1212_650,0.81328,
E1347_313,,0.39098
E160_794,0.9937299999999999,
E1589_342,,0.42732
E1030_723,,0.90476
E1990_6,,0.00627
E1174_64,0.07895,
E33_493,0.61654,
E1811_20,0.023809999999999998,
E219_265,0.33083,
E1396_370,,0.46241000000000004
E339_670,0.83835,
E992_673,,0.84211
E952_157,,0.19549
E58_301,0.37594,
E39_408,,0.51003
E282_531,0.6641600000000001,
E1106_468,,0.58521
E1630_201,0.25063,
E78_408,,0.51003
E1893_225,,0.2807
E788_162,,0.20175
E1778_55,0.06767000000000001,
E1725_584,0.73058,
E826_501,0.62657,
E1920_658,0.82331,
E677_446,,0.5576399999999999
E1353_97,0.1203,
E161_239,,0.29825
E186_396,,0.49499
E148_209,,0.26065
E934_147,0.18295999999999998,
E690_796,,0.99624
E306_498,,0.6228100000000001
E824_526,0.65789,
E1415_487,0.60902,
E278_684,,0.8558899999999999
E1245_244,,0.30451
E1371_521,,0.65163
E881_716,,0.89599
E113_129,,0.1604
E1645_554,0.69298,
E1056_342,,0.42732
E413_746,,0.93358
E970_259,,0.32331
E1948_499,,0.6240600000000001
E1103_684,,0.8558899999999999
E480_202,,0.25188
E930_328,,0.40976999999999997
E130_105,,0.13033
E1756_348,,0.43483999999999995
E935_116,,0.14411
E1572_303,0.37845,
E1716_46,0.056389999999999996,
E961_142,,0.17669
E1253_514,,0.64286
E289_748,,0.93609
E293_140,0.17419,
E1963_705,,0.88221
E42_521,,0.65163
E808_403,0.50376,
E1382_298,,0.37218
E387_519,0.64912,
E686_211,,0.26316
E213_40,,0.04887
E1935_538,,0.67293
E1175_757,,0.94737
E232_253,,0.31579
E1601_56,,0.06892000000000001
E1430_83,,0.10275999999999999
E1880_443,0.55388,
E1484_635,0.7944899999999999,
E627_46,0.056389999999999996,
E920_421,,0.52632
E1140_290,,0.36216
E1677_695,0.86967,
E1283_216,,0.26942
E178_42,0.051379999999999995,
E1855_283,,0.35338
E85_358,,0.44737
E652_714,0.8934799999999999,
E1815_440,0.55013,
E1008_569,0.71178,
E1379_746,0.93358,
E1278_345,,0.43108
E1217_465,0.58145,
E518_645,,0.80702
E1375_681,,0.8521299999999999
E1493_425,0.53133,
E651_341,,0.42607
E597_347,,0.43358
E794_323,,0.40351
E1883_419,,0.52381
E1954_234,,0.29198
E994_512,0.64035,
E307_268,,0.33459
E743_727,0.9097700000000001,
E1150_425,,0.53133
E1213_273,0.34085,
E419_180,,0.22430999999999998
E1034_161,0.2005,
E884_95,0.11779,
E1654_381,,0.47618999999999995
E117_530,,0.66291
E664_13,,0.015040000000000001
E474_483,,0.60401
E811_423,,0.52882
E1291_299,0.37343000000000004,
E538_498,,0.6228100000000001
E623_83,0.10275999999999999,
E1440_139,0.17293,
E1808_722,0.90351,
E616_327,,0.40852
E304_283,0.35338,
E1554_296,,0.36967
E107_582,0.72807,
E916_161,,0.2005
E1723_310,,0.38722
E1002_245,,0.30576
E563_284,,0.35464
E790_387,,0.48371000000000003
E724_439,,0.54887
E425_231,0.28822,
E146_479,,0.599
E16_241,0.30075,
E402_762,,0.95363
E279_654,,0.8183
E1573_5,0.0050100000000000006,
E1166_356,,0.44486000000000003
E462_314,0.39223,
E1162_375,0.46867,
E1357_635,,0.7944899999999999
E830_220,,0.27444
E1590_218,,0.27193
E1107_97,,0.1203
E334_732,,0.91604
E1322_125,0.15539,
E1958_567,,0.70927
E44_234,,0.29198
E381_356,0.44486000000000003,
E1932_385,,0.4812
E313_710,,0.8884700000000001
E86_659,,0.8245600000000001
E1201_109,,0.13534000000000002
E442_76,0.09398,
E536_594,0.74311,
E1420_503,,0.62907
E1506_366,,0.45738999999999996
E791_565,0.70677,
E35_598,0.74812,
E823_180,0.22430999999999998,
E144_612,0.76566,
E207_35,,0.04261
E1044_703,0.8797,
E1913_77,0.09523999999999999,
E1991_40,,0.04887
E1432_7,,0.007520000000000001
E1977_15,,0.01754
E592_369,,0.46115
E305_496,,0.6203
E1526_288,0.35965,
E1116_566,,0.70802
E212_42,,0.051379999999999995
E1054_377,,0.47118000000000004
E555_644,0.80576,
E1424_60,,0.07393
E354_752,,0.9411
E1019_380,,0.47494
E1331_289,,0.3609
E877_577,0.7218,
E1264_157,,0.19549
E1675_773,0.9674200000000001,
E1014_137,0.17043,
E417_448,,0.56015
E1872_363,0.45363000000000003,
E998_455,,0.56892
E873_343,,0.42857
E778_767,,0.9599
E1762_304,,0.3797
E1942_21,,0.02506
E1627_773,,0.9674200000000001
E1376_577,,0.7218
E1646_559,,0.69925
E247_377,,0.47118000000000004
E15_738,,0.92356
E1057_511,0.6391,
E392_555,0.69424,
E1392_312,,0.38971999999999996
E237_88,0.10902,
E1852_117,,0.14536
E559_305,0.38095,
E532_445,,0.5563899999999999
E642_480,,0.60025
E534_797,,0.99749
E1894_210,0.2619,
E1670_72,,0.08897000000000001
E602_213,,0.26566
E408_577,,0.7218
E577_682,0.8533799999999999,
E793_185,0.23058,
E1386_616,0.77068,
E1015_625,,0.78195
E1909_139,,0.17293
E1244_477,,0.59649
E564_182,0.22682,
E1710_262,0.32706999999999997,
E1944_778,0.9736799999999999,
E112_444,0.55514,
E352_148,0.18420999999999998,
E569_368,,0.4599
E572_618,0.77318,
E957_655,,0.81955
E1453_33,,0.0401
E1668_701,,0.8771899999999999
E1825_132,0.16416,
E1061_461,,0.57644
E1754_124,,0.15414
E840_357,0.44611999999999996,
